2023-08-04 21:37:26,005 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 21:37:26,230 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:37:37,138 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:37:37,140 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 21:56:02,438 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 21:56:02,612 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:56:10,666 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:56:10,668 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:08:42,504 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:08:42,737 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:08:52,838 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:08:52,841 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:19:35,799 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:19:35,959 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:19:42,978 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:19:42,980 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:39:38,926 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:39:39,107 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:39:51,984 - ALEXANDERBAAI - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:40:01,391 - ALEXANDERBAAI - INFO - Date 2010-01-03 01:00:00 Index 49 - Actual: 0.4782608695652173, Predicted: 0.4100467264652252
2023-08-04 22:40:01,559 - ALEXANDERBAAI - INFO - Date 2010-01-03 02:00:00 Index 50 - Actual: 0.6173913043478263, Predicted: -0.8833543658256531
2023-08-04 22:40:01,710 - ALEXANDERBAAI - INFO - Date 2010-01-03 03:00:00 Index 51 - Actual: 0.7304347826086954, Predicted: -0.5121666789054871
2023-08-04 22:40:01,858 - ALEXANDERBAAI - INFO - Date 2010-01-03 04:00:00 Index 52 - Actual: 0.6521739130434783, Predicted: 0.5327111482620239
2023-08-04 22:40:01,999 - ALEXANDERBAAI - INFO - Date 2010-01-03 05:00:00 Index 53 - Actual: 0.5391304347826087, Predicted: -0.37066319584846497
2023-08-04 22:40:02,151 - ALEXANDERBAAI - INFO - Date 2010-01-03 06:00:00 Index 54 - Actual: 0.26956521739130435, Predicted: -0.6124919056892395
2023-08-04 22:40:02,345 - ALEXANDERBAAI - INFO - Date 2010-01-03 07:00:00 Index 55 - Actual: 0.4608695652173913, Predicted: 0.32041117548942566
2023-08-04 22:40:02,534 - ALEXANDERBAAI - INFO - Date 2010-01-03 08:00:00 Index 56 - Actual: 0.5913043478260871, Predicted: -1.008609652519226
2023-08-04 22:40:02,750 - ALEXANDERBAAI - INFO - Date 2010-01-03 09:00:00 Index 57 - Actual: 0.6086956521739131, Predicted: -0.4958825409412384
2023-08-04 22:40:02,987 - ALEXANDERBAAI - INFO - Date 2010-01-03 10:00:00 Index 58 - Actual: 0.5826086956521739, Predicted: 0.3551279902458191
2023-08-04 22:40:03,243 - ALEXANDERBAAI - INFO - Date 2010-01-03 11:00:00 Index 59 - Actual: 0.5826086956521739, Predicted: -0.5254530906677246
2023-08-04 22:40:03,436 - ALEXANDERBAAI - INFO - Date 2010-01-03 12:00:00 Index 60 - Actual: 0.20000000000000018, Predicted: -0.7558773756027222
2023-08-04 22:40:03,628 - ALEXANDERBAAI - INFO - Date 2010-01-03 13:00:00 Index 61 - Actual: 0.40000000000000013, Predicted: 0.42692625522613525
2023-08-04 22:40:03,836 - ALEXANDERBAAI - INFO - Date 2010-01-03 14:00:00 Index 62 - Actual: 0.4695652173913043, Predicted: -0.8978127837181091
2023-08-04 22:40:04,071 - ALEXANDERBAAI - INFO - Date 2010-01-03 15:00:00 Index 63 - Actual: 0.26956521739130435, Predicted: -0.588014543056488
