2023-08-05 12:00:08,155 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:05:14,564 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 119 - Actual: 0.5589123964309692, Predicted: 0.12001875042915344
2023-08-05 12:05:16,791 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 120 - Actual: 0.6435045599937439, Predicted: 0.1424752175807953
2023-08-05 12:05:19,015 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 121 - Actual: 0.5921450257301331, Predicted: 0.12759466469287872
2023-08-05 12:05:21,201 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 122 - Actual: 0.5015105605125427, Predicted: 0.0996083915233612
2023-08-05 12:05:23,388 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 123 - Actual: 0.42296072840690613, Predicted: 0.18901103734970093
2023-08-05 12:05:25,549 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 124 - Actual: 0.42598187923431396, Predicted: 0.12190639227628708
2023-08-05 12:05:27,747 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 125 - Actual: 0.39274924993515015, Predicted: 0.0997777208685875
2023-08-05 12:05:29,997 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 126 - Actual: 0.3806646466255188, Predicted: 0.17748157680034637
2023-08-05 12:05:32,212 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 127 - Actual: 0.347432017326355, Predicted: 0.20626243948936462
2023-08-05 12:05:34,383 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 128 - Actual: 0.3413897156715393, Predicted: 0.06284862011671066
2023-08-05 12:05:36,538 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 129 - Actual: 0.3111782371997833, Predicted: 0.1779790073633194
2023-08-05 12:05:38,721 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 130 - Actual: 0.317220538854599, Predicted: 0.1362754851579666
2023-08-05 12:05:40,877 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 131 - Actual: 0.32024168968200684, Predicted: 0.09507276862859726
2023-08-05 12:05:43,066 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 132 - Actual: 0.42296072840690613, Predicted: 0.18532636761665344
2023-08-05 12:05:45,229 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 133 - Actual: 0.4984894394874573, Predicted: 0.1886063516139984
2023-08-05 12:05:47,390 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 134 - Actual: 0.5528700947761536, Predicted: 0.11116917431354523
2023-08-05 12:05:49,607 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 135 - Actual: 0.5226585865020752, Predicted: 0.16130690276622772
2023-08-05 12:05:51,788 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 136 - Actual: 0.5528700947761536, Predicted: 0.07460878789424896
2023-08-05 12:05:53,972 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 137 - Actual: 0.6012084484100342, Predicted: 0.14277474582195282
2023-08-05 12:05:56,186 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 138 - Actual: 0.6253776550292969, Predicted: 0.20292715728282928
2023-08-05 12:05:58,397 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 139 - Actual: 0.6314199566841125, Predicted: 0.09203850477933884
2023-08-05 12:06:00,621 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 140 - Actual: 0.6012084484100342, Predicted: 0.0651354268193245
2023-08-05 12:06:02,986 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 141 - Actual: 0.5498489141464233, Predicted: 0.22144408524036407
2023-08-05 12:06:05,491 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 142 - Actual: 0.5830815434455872, Predicted: 0.11648716032505035
2023-08-05 12:06:07,923 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 143 - Actual: 0.5287008881568909, Predicted: 0.10187090188264847
2023-08-05 12:06:10,418 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 144 - Actual: 0.365558922290802, Predicted: 0.1327158808708191
2023-08-05 12:06:12,965 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 145 - Actual: 0.3504531681537628, Predicted: 0.12254692614078522
